Gm#,Date,Tm,Opp,Attendance,,,,,,,,,,,,,,,,,
250,"Sunday, Apr 18 (1)",BOS,CHW,"4,679",,,,,,,,,,,,,,,,,
251,"Sunday, Apr 18 (2)",BOS,CHW,"4,601",,,,,,,,,,,,,,,,,
252,"Monday, Apr 19",BOS,CHW,"4,738",,,,,,,,,,,,,,,,,
253,"Tuesday, Apr 20",BOS,TOR,"4,728",,,,,,,,,,,,,,,,,
254,"Wednesday, Apr 21",BOS,TOR,"4,661",,,,,,,,,,,,,,,,,
255,"Thursday, Apr 22",BOS,SEA,"4,617",,,,,,,,,,,,,,,,,
256,"Friday, Apr 23",BOS,SEA,"4,646",,,,,,,,,,,,,,,,,
257,"Saturday, Apr 24",BOS,SEA,"4,621",,,,,,,,,,,,,,,,,
258,"Sunday, Apr 25",BOS,SEA,"4,510",,,,,,,,,,,,,,,,,
259,"Tuesday, May 4",BOS,DET,"4,677",,,,,,,,,,,,,,,,,
260,"Wednesday, May 5",BOS,DET,"4,661",,,,,,,,,,,,,,,,,
261,"Thursday, May 6",BOS,DET,"4,734",,,,,,,,,,,,,,,,,
262,"Tuesday, May 11",BOS,OAK,"9,264",,,,,,,,,,,,,,,,,
263,"Wednesday, May 12",BOS,OAK,"9,272",,,,,,,,,,,,,,,,,
264,"Thursday, May 13",BOS,OAK,"9,301",,,,,,,,,,,,,,,,,
265,"Friday, May 14",BOS,LAA,"9,284",,,,,,,,,,,,,,,,,
266,"Saturday, May 15",BOS,LAA,"9,374",,,,,,,,,,,,,,,,,
267,"Sunday, May 16",BOS,LAA,"9,316",,,,,,,,,,,,,,,,,
268,"Tuesday, May 25",BOS,ATL,"9,357",,,,,,,,,,,,,,,,,
269,"Wednesday, May 26",BOS,ATL,"9,197",,,,,,,,,,,,,,,,,
270,"Friday, May 28",BOS,MIA,"9,005",,,,,,,,,,,,,,,,,
271,"Saturday, May 29",BOS,MIA,"25,089",,,,,,,,,,,,,,,,,
272,"Monday, Jun 7",BOS,MIA,"25,374",,,,,,,,,,,,,,,,,
273,"Tuesday, Jun 8",BOS,HOU,"23,604",,,,,,,,,,,,,,,,,
274,"Wednesday, Jun 9",BOS,HOU,"21,007",,,,,,,,,,,,,,,,,
275,"Thursday, Jun 10",BOS,HOU,"23,378",,,,,,,,,,,,,,,,,
276,"Friday, Jun 11",BOS,TOR,"25,257",,,,,,,,,,,,,,,,,
277,"Saturday, Jun 12",BOS,TOR,"24,024",,,,,,,,,,,,,,,,,
278,"Sunday, Jun 13",BOS,TOR,"22,595",,,,,,,,,,,,,,,,,
279,"Monday, Jun 14",BOS,TOR,"20,070",,,,,,,,,,,,,,,,,
280,"Friday, Jun 25",BOS,NYY,"36,869",,,,,,,,,,,,,,,,,
281,"Saturday, Jun 26",BOS,NYY,"36,857",,,,,,,,,,,,,,,,,
282,"Sunday, Jun 27",BOS,NYY,"34,504",,,,,,,,,,,,,,,,,
283,"Monday, Jun 28",BOS,KCR,"22,766",,,,,,,,,,,,,,,,,
284,"Tuesday, Jun 29",BOS,KCR,"25,180",,,,,,,,,,,,,,,,,
285,"Wednesday, Jun 30",BOS,KCR,"24,616",,,,,,,,,,,,,,,,,
286,"Thursday, Jul 1",BOS,KCR,"27,913",,,,,,,,,,,,,,,,,
287,"Friday, Jul 9",BOS,PHI,"32,641",,,,,,,,,,,,,,,,,
288,"Saturday, Jul 10",BOS,PHI,"33,202",,,,,,,,,,,,,,,,,
289,"Sunday, Jul 11",BOS,PHI,"32,586",,,,,,,,,,,,,,,,,
290,"Thursday, Jul 22",BOS,NYY,"34,761",,,,,,,,,,,,,,,,,
291,"Friday, Jul 23",BOS,NYY,"34,922",,,,,,,,,,,,,,,,,
292,"Saturday, Jul 24",BOS,NYY,"35,136",,,,,,,,,,,,,,,,,
293,"Sunday, Jul 25",BOS,NYY,"32,009",,,,,,,,,,,,,,,,,
294,"Monday, Jul 26",BOS,TOR,"27,142",,,,,,,,,,,,,,,,,
295,"Wednesday, Jul 28 (1)",BOS,TOR,"27,410",,,,,,,,,,,,,,,,,
296,"Wednesday, Jul 28 (2)",BOS,TOR,"27,783",,,,,,,,,,,,,,,,,
297,"Thursday, Jul 29",BOS,TOR,"33,191",,,,,,,,,,,,,,,,,
298,"Tuesday, Aug 10",BOS,TBR,"28,356",,,,,,,,,,,,,,,,,
299,"Wednesday, Aug 11",BOS,TBR,"30,286",,,,,,,,,,,,,,,,,
300,"Thursday, Aug 12",BOS,TBR,"26,803",,,,,,,,,,,,,,,,,
301,"Friday, Aug 13",BOS,BAL,"28,022",,,,,,,,,,,,,,,,,
302,"Saturday, Aug 14",BOS,BAL,"33,118",,,,,,,,,,,,,,,,,
303,"Sunday, Aug 15",BOS,BAL,"28,935",,,,,,,,,,,,,,,,,
304,"Friday, Aug 20",BOS,TEX,"30,012",,,,,,,,,,,,,,,,,
305,"Saturday, Aug 21",BOS,TEX,"32,495",,,,,,,,,,,,,,,,,
306,"Monday, Aug 23",BOS,TEX,"27,652",,,,,,,,,,,,,,,,,
